name,type,orbits,semi_major_axis_m,apoapsis_m,periapsis_m,eccentricity,inclination_deg,arg_periapsis_deg,long_asc_node_deg,mean_anomaly_rad,orbital_period_s,synodic_period_s,orbital_velocity_min_mps,orbital_velocity_max_mps,longest_time_eclipsed_s,radius_m,circumference_m,surface_area_m2,mass_kg,mu_m3s2,density_kgm3,surface_gravity_mps2,surface_gravity_g,escape_velocity_mps,rotation_period_s,solar_day_s,rotational_velocity_mps,synchronous_orbit_km,soi_m,atmosphere_present,atmospheric_pressure_kpa,atmospheric_pressure_atm,atmospheric_height_m,temperature_min_c,temperature_min_k,temperature_max_c,temperature_max_k,oxygen_present,science_surface,science_splashed,science_lower_atm,science_upper_atm,science_near_space,science_outer_space,science_recovery,axial_tilt_deg
Kerbol,Star,,,,,,,,,,,,,,,261600000,1643681276,8.5997404e17,1.7565459e28,1.1723328e18,234.23818,17.1,1.747,94672.01,432000.00,,3804.8,1508045.29,inf,Yes,16.0000,0.157908,600000,3741.80,4014.95,9348.05,9621.2,No,,,1,1,11,2,4,7.25
Moho,Planet,Kerbol,5263138304,6315765981,4210510628,0.2,7,15,70,3.14,2215754,2918346.4,12186,18279,,250000,1570796,7.8539816e11,2.5263314e21,1.6860938e11,38599.500,2.70,0.275,1161.41,1210000.0,2665723.4,1.2982,,9646663.0,No,,,,,,,,,10,,,,8,7,7,0.03
Eve,Planet,Kerbol,9832684544,9931011387,9734357701,0.01,2.1,0,15,3.14,5657995,14687035.5,10811,11029,,700000,4398230,6.1575216e12,1.2243980e23,8.1717302e12,85219.677,16.7,1.701,4831.96,80500.000,81661.857,54.636,10328.47,85109365,Yes,506.625,5,90000,-113.13,160.02,146.85,420,No,8,8,6,6,7,5,5,2.64
Gilly,Moon,Eve,31500000,48825000,14175000,0.55,12,10,80,0.9,388587,417243.4,274,945,5102,13000,81681,2.1237166e9,1.2420363e17,8289449.8,13496.328,0.049,0.005,35.71,28255.000,,2.8909,42.14,126123.27,No,,,,,,,,,9,,,,8,6,6,1.2
Kerbin,Planet,Kerbol,13599840256,13599840256,13599840256,0,0,0,0,3.14,9203545,,9285,,,600000,3769911,4.5238934e12,5.2915158e22,3.5316000e12,58484.090,9.81,1,3431.03,21549.425,21600.000,174.94,2863.33,84159286,Yes,101.325,1,70000,-86.20,186.95,15,288.15,Yes,0.3,0.4,0.7,0.9,1,1.5,1,23.44
Mun,Moon,Kerbin,12000000,12000000,12000000,0,0,0,0,1.7,138984,141115.4,543,,2213,200000,1256637,5.0265482e11,9.7599066e20,6.5138398e10,29125.076,1.63,0.166,807.08,138984.38,,9.0416,,2429559.1,No,,,,,,,,,4,,,,3,2,2,6.68
Minmus,Moon,Kerbin,47000000,47000000,47000000,0,6,38,78,0.9,1077311,1220131.7,274,,4378,60000,376991,4.5238934e10,2.6457580e19,1.7658000e9,29242.046,0.491,0.05,242.61,40400.000,,9.3315,357.94,2247428.4,No,,,,,,,,,5,,,,4,2.5,2.5,12
Duna,Planet,Kerbol,20726155264,21783189163,19669121365,0.051,0.06,0,135.5,3.14,17315400,19645697.3,7147,7915,,320000,2010619,1.2867964e12,4.5154270e21,3.0136321e11,32897.302,2.94,0.3,1372.41,65517.859,65766.707,30.688,2880.00,47921949,Yes,6.75500,0.066667,50000,-123.15,150,-40.15,233,No,8,,5,5,7,5,5,25.19
Ike,Moon,Duna,3200000,3296000,3104000,0.03,0.2,0,0,1.7,65518,65766.7,298,316,2153,130000,816814,2.1237166e11,2.7821615e20,1.8568369e10,30231.777,1.10,0.112,534.48,65517.862,,12.467,,1049598.9,No,,,,,,,,,8,,,,7,5,5,1.76
Dres,Dwarf planet,Kerbol,40839348203,46761053692,34917642714,0.145,5,90,280,3.14,47893063,11392903.3,4630,6200,,138000,867080,2.3931396e11,3.2190937e20,2.1484489e10,29242.045,1.13,0.115,558.00,34800.000,34825.305,24.916,732.24,32832840,No,,,,,,,,,8,,,,7,6,6,4
